Swedish,English 
De säger att han har varit död i två år.,They say that he has been dead for two years.
Jag skall läsa boken.,I'll read the book.
Jag ångrar att jag inte gick dit.,I regret that I didn't go there.
Vad sägs om att stanna?,What do you say to staying?
Du får inte hoppa av.,You can't back out.
Er fråga har inget svar.,Your question has no answer.
Det var en bra dag.,That was a good day.
Jag gillar inte den här platsen.,I don't like this place.
"Detta är hans bil, tror jag.","This is his car, I think."
Han är trött på mina problem.,He is fed up with my problems.
Det känns riktigt bra.,It feels really good.
Tror du att han är död?,Do you think he is dead?
Klockan var fem i ett när jag gick och la mig.,It was five to one when I got to bed.
Jag älskar dina ögon.,I love your eyes.
Är du ledsen?,Are you sad?
Och varför frågar du?,And why do you ask?
Jag är upptagen.,I'm busy.
Han har blivit längre och längre.,He has become taller and taller.
Han bar sig illa åt.,He behaved badly.
Jag älskar det här arbetet.,I love this job.
Jag hoppas att det ska vara bra imorgon.,I hope it'll be fine tomorrow.
Sa någon någonting?,Did anyone say anything?
Detta är huset jag bodde i när jag var barn.,This is the house where I lived when I was a child.
En gång fann jag en bok där.,I once found a book there.
"Om du vill prata, prata då.","If you want to talk, talk."
Det är en plan.,That's a plan.
Hon blev väldigt arg på barnen.,She got very angry with the children.
Jag kan bara tala för mig själv.,I can only speak for myself.
Hon är fem år gammal.,She is five years old.
Jag gör mitt bästa.,I do my best.
Jag köpte många böcker.,I bought a lot of books.
Först visste jag inte vad jag skulle göra.,"At first, I didn't know what to do."
Hon går sällan ut.,She seldom goes out.
Du är tyst.,You be quiet.
Vad är jag skyldig er?,What do I owe you?
Vad gör jag sen?,What do I do next?
Hon sjunger bra.,She sings well.
Jag väckte dig.,I woke you up.
Sa de varför?,Did they say why?
"Tack, det var allt.","Thanks, that's all."
Jag vill sova lite längre.,I want to sleep a little longer.
Var inte ledsen.,Don't be sad.
Har du barn?,Do you have children?
Jag kan inte göra det själv.,I can't do it alone.
Hon ger sin son för mycket pengar.,She gives too much money to her son.
Vem förstörde det här?,Who broke this?
Vi måste göra bättre ifrån oss.,We have to do better.
Hon ser ledsen ut.,She looks sad.
Är hon Japansk?,Is she Japanese?
Vem brukade göra detta?,Who used to do this?
Jag behöver lite vatten.,I need some water.
Tror du att vi borde överge skeppet?,Do you think we should abandon ship?
Var bodde ni?,Where did you stay?
Jag måste låna lite pengar.,I have to borrow some money.
Jag har tillräckligt med pengar för att köpa en bil.,I have enough money to buy a car.
Hon såg ledsen ut.,She looked sad.
Han slutade aldrig att skriva.,He never stopped writing.
"Du då, litar du på den här mannen?","What about you, do you trust this man?"
Jag känner henne inte alls.,I don't know her at all.
Han skulle aldrig få se sina föräldrar igen.,He was never to see his parents again.
Han skrev till sina föräldrar.,He wrote to his parents.
Vad är ditt namn?,What's your name?
Jag föddes sådan här!,I was born this way!
Jag fattar.,I get the idea.
Jag tycker att det är ganska konstigt att han inte skulle veta någonting sådant.,I think it quite strange that he should not know such a thing.
Hon har inte varit i skolan på fem dagar.,She's been absent from school for five days.
Hör du mig bra nu?,Do you hear me well now?
Talar du japanska?,Do you speak Japanese?
Det där är hans bil.,That is his car.
Vad finns i den här lådan?,What is in this box?
Man kan inte kontrollera mig.,You can't control me.
Hon har inga barn.,She has no children.
Kan jag kyssa dig?,May I kiss you?
Jag betalar med mitt kort.,I'll pay with my card.
Hon gav mig inte sitt namn.,She didn't give me her name.
Jag skriver ett brev till min fru.,I am writing this letter to my wife.
Jag hittade en fin lägenhet åt honom.,I found him a nice apartment.
Gick det bra i dag?,Did it go well today?
Jag träffade ingen på vägen hem.,I met nobody on my way home.
Det finns ett piano i rummet.,There is a piano in the room.
Jag lånade den bara.,I just borrowed it.
Hur dålig kan den vara?,How bad can it be?
Det är ett för svårt problem för mig att lösa.,It is too difficult a problem for me to solve.
Jag hör ingenting.,I can't hear a thing.
Jag antar att han kommer tillbaka snart.,I suppose he will be back soon.
Jag antar att han kommer tillbaka snart.,He will soon be back.
De lyssnar inte alltid på sina föräldrar.,They don't always obey their parents.
Han måste älska dig.,He must love you.
Jag måste göra det här själv.,I have to do this alone.
"Förlåt, jag hade inte med det att göra.","Sorry, that was none of my business."
Tag min.,Take mine.
Sköt om dig!,Remember to take good care of yourself!
Jag är glad att du är här.,I'm glad you're here.
Vi kan inte hålla med dig på denna punkt.,We can not agree with you on this point.
Han tror fortfarande på hennes ord.,He still believes her words.
Jag betalar.,I'll pay.
Det bodde en gammal man i det gamla huset.,There lived an old man in the old house.
Jag vill veta vad det är som är roligt.,I want to know what's funny.
Jag klara det inte nu.,I can't do that now.
Jag sa aldrig att det inte var en bra idé.,I never said that it was not a good idea.
Kan någon bevisa det?,Can anyone verify that?
Du ser dum ut.,You look stupid.
Han var upptagen.,He was busy.
Lyssnar du?,Are you listening?
Det var hans tystnad som gjorde henne arg.,It was his silence that made her angry.
Har du en telefon?,Do you have a phone?
Jag kan inte dansa.,I can't dance.
Jag bodde i det här huset som barn.,I lived in this house as a child.
Jag tror att jag skall köpa en ny bil.,I think I'll buy a new car.
Pojken som står vid dörren är min bror.,The boy standing by the door is my brother.
Jag tror att jag är kär.,I think I'm in love.
Jag ska fråga honom om det imorgon.,I will ask him about it tomorrow.
Hon såg upp mot himlen.,She looked up at the sky.
"Men snart skulle han inte kunna gå, skriva eller ens äta själv.","But soon he would not be able to walk, write, or even eat by himself."
Jag vet hur detta fungerar.,I know how this works.
Vad ska du med pengarna till?,What do you need the money for?
Jag har inte druckit kaffe än.,I haven't had a coffee yet.
Han har inga vänner.,He does not have any friends.
"Ni då, litar ni på den här mannen?","What about you, do you trust this man?"
Är du road av det här?,Are you enjoying this?
Jag ska spela fotboll efter skolan.,I am going to play soccer after school.
"Lita på mig, sade han.","Trust me, he said."
Man kan lära sig många ord genom att läsa.,You can pick up a lot of words by reading.
Det är inga problem.,It's no trouble.
Jag vill ha en bok på svenska.,I want a book in Swedish.
Hur många engelska ord kan du?,How many English words do you know?
Du sover i mitt rum.,You sleep in my room.
Jag trodde att vi var bästa vänner.,I thought we were best friends.
Hon läste hans brev om och om igen.,She read his letter again and again.
Hur mår din mor?,How's your mother?
Ha ett bra liv.,Have a nice life.
Ha ett bra liv.,Have a good life.
Varför följer du efter mig?,Why are you following me?
Det var nästan som en dröm.,It was almost like a dream.
Hon hjälpte honom.,She helped him.
Du kan välja vilken bok du vill.,You may choose whichever book you like.
Hon kysste honom.,She kissed him.
Kom tillbaka hit.,Come back here.
Du förtjänar mer.,You deserve more.
Jag vill kunna läsa japanska.,I want to be able to read Japanese.
Du kan välja vilken du vill.,You may choose whichever you want.
Jag kommer inte ihåg ditt namn.,I don't remember your name.
Hur länge kommer du att vara i Japan?,How long will you stay in Japan?
Var snäll och stäng dörren efter dig.,Please shut the door behind you.
Det är inget problem.,It's no trouble.
Jag har fortfarande inte hittat det jag letar efter.,Still I haven't found what I'm looking for.
Hon gav honom en massa pengar.,She gave him a lot of money.
En hund sprang.,A dog was running.
Det är bara en dröm.,It's just a dream.
Det är nästan omöjligt.,It's almost impossible.
Var är min telefon?,Where's my phone?
Jag förstår vad problemet är.,I see the problem.
Vad skulle världen vara utan kvinnor?,What would the world be like without women?
Jag är nöjd.,I'm satisfied.
Är ni roade av det här?,Are you enjoying this?
Det var trevligt att göra ingenting.,It was nice to do nothing.
Vad har du hört?,What have you heard?
Hur känns det?,How does that feel?
Hur känns det?,What's it like?
Vad används den här till?,What's this for?
Har ni en telefon?,Do you have a phone?
Du är sen.,You are late.
Jag ångrar att jag inte åkte dit.,I regret that I didn't go there.
Hittade de någonting?,Did they find anything?
Jag skulle dö utan dig.,I'd die without you.
Han sade till henne att han älskade henne.,He told her that he loved her.
Det är en film som alla borde se.,This is a film that everybody should see.
Jag älskar denna del.,I love this part.
Jag älskar er båda.,I love you both.
Varför följer ni efter mig?,Why are you following me?
Nu eller aldrig.,It's now or never.
Nu eller aldrig.,Now or never.
Kan något bekräfta det?,Can anyone verify that?
Jag har inga nära vänner.,I don't have any close friends.
Du måste inte komma hit varje dag.,You don't have to come here every day.
Du luktar så gott.,You smell so nice.
Vad är din plan?,What's your plan?
Jag älskar den filmen.,I love that movie.
Det här är en bild av min syster.,This is a picture of my sister.
Jag också.,"Me, too."
Jag vill inte dö!,I don't want to die!
Ta en buss.,Take a bus.
Det var omöjligt att hitta ett svar.,It was impossible to find an answer.
Fråga henne vad hon har köpt.,Ask her what she bought.
Tag mitt.,Take mine.
Har du någonsin varit på TV?,Have you ever been on TV?
Jag är trött på att äta på restaurang.,I'm fed up with eating in restaurants.
Detta är deras hus.,This is their house.
Kommer jag att dö?,Am I going to die?
Kom du med första tåget?,Did you catch the first train?
Jag gillade den där filmen.,I liked that movie.
Jag hörde det på tv.,I heard it on TV.
Jag ska inte dö.,I'm not going to die.
Min engelska är allt utom bra.,My English is anything but good.
Jag spelade tennis.,I was playing tennis.
Om det regnar kommer han inte.,"If it should rain, he will not come."
Jag ringer dig vid sju.,I'll call you at seven.
Hur mår du nu?,How are you now?
Jag ville bara ställa en fråga.,I just wanted to ask a question.
Jag kommer att vara på mitt kontor.,I'll be in my office.
Jag trodde att jag var ensam.,I thought I was alone.
En student vill träffa dig.,A student wants to see you.
Jag läser den här tidningen.,I'm reading this newspaper.
Det är för litet.,It's too small.
Ni måste inte komma hit varje dag.,You don't have to come here every day.
Jag kan inte förneka det.,I can't deny that.
Jag kan inte komma av arbetet nu.,I can't get away from work now.
Ge henne det här brevet när hon kommer.,Give her this letter when she comes.
Vem pratar?,Who's speaking?
Jag är inte trött alls.,I'm not at all tired.
Jag är inte alls trött.,I'm not at all tired.
Jag är inte trött alls.,I'm not tired at all.
De vill inte att du ska veta.,They don't want you to know.
Jag önskar att jag hade ett rum för mig själv.,I wish I had a room of my own.
"Det är ingen bra bil, men det är en bil.","It's not a good car, but it's a car."
Hon är upptagen.,She's busy.
Jag lade på och ringde henne igen.,I hung up and called her again.
Det ser ut att bli regn.,It looks as if it is going to rain.
Jag ska köpa en bil.,I will buy a car.
Jag såg det faktiskt inte själv.,I didn't actually see it myself.
Det slutade bra.,It turned out well.
Jag vill att du kommer tillbaka nästa vecka.,I'd like you to come back next week.
De lät mig vänta länge.,They made me wait for a long time.
Vi har ett väldigt allvarligt problem.,We have a very serious problem.
Jag kan inte tacka dig nog för det du gjorde för mig.,I can't thank you enough for what you did for me.
Han kommer tillbaka sex.,He'll return at six.
Han älskar musik.,He loves music.
Jag kan inte röka.,I can't smoke.
Hon började prata med hunden.,She began to talk to the dog.
Jag skulle kunna kyssa dig.,I could kiss you.
Jag önskar dig lycka till.,I wish you well.
Det var inte roligt alls.,It was not at all funny.
Vänta här tills jag kommer tillbaka.,Wait here until I come back.
Skulle du ha något emot att jag ställer en fråga?,Would you mind if I ask a question?
Jag kan inte förstå att jag precis sköt mig själv.,I can't believe I just shot myself.
Det finns en TV i rummet.,There is a television in the room.
Jag har inte råd att betala så mycket.,I can't afford to pay so much.
De här skorna sitter inte särskilt bra.,These shoes are a little loose.
Jag skulle dö utan er.,I'd die without you.
Jag hoppas du har kul.,I hope you are having fun.
Jag köpte en massa böcker.,I bought a lot of books.
Vad är ni rädda för?,What are you afraid of?
Han spelade tennis.,I played tennis.
Jag kommer att behöva din hjälp.,I will need your help.
Vi har ingen dotter.,We don't have a daughter.
Var ska vi träffas?,Where shall we meet?
Hoppas medan du lever!,Hope while you live.
Får jag kyssa dig?,May I kiss you?
Du borde inte gå ut i den här kylan.,You'd better not go out in this cold weather.
Hon är tyst.,She is quiet.
Jag gick aldrig och la mig.,I never went to sleep.
Jag hämtar bilen.,I'll get the car.
De två försökte ena efter den andra.,The two tried one after the other.
Titta på mig.,Look at me.
Jag har skrivit ett brev.,I have written a letter.
Var är min bil?,Where's my car?
Titta på mig.,Watch me.
Du kan lämna rummet nu.,You can leave the room now.
Han gick ut ur rummet utan att säga ett ord.,He left the room without saying a word.
Vi hjälpte dem.,We helped them.
Du måste arbeta snabbt.,You need to work fast.
"Kan någon öppna den här dörren, tack?","Somebody, open this door, please."
Jag har läst engelska i fyra år.,I have been studying English for four years.
Jag stod och väntade på en buss.,I stood waiting for a bus.
Han har en bil.,He has a car.
Du kan inte skylla på mig.,You can't blame me.
Han lämnade boken på bordet.,He left the book on the table.
Jag har bott här hela mitt liv.,I've lived here my entire life.
Hon pratar om Paris som om hon har varit där flera gånger.,She talks about Paris as if she had been there many times.
Jag kan inte behålla det här.,I can't keep this.
Hon tycker om vin.,She likes wine.
Min bror måste ha skrivit det här brevet.,My brother must have written this letter.
Han tog henne i handen.,He took her by the hand.
Hon frågade var huset låg.,She asked about the location of the house.
Hon fortsatte prata.,She kept on talking.
Ska vi beställa?,Shall we order?
Jag är redan sen.,I am already late.
Han sparkade honom medan han låg ner.,He kicked him while he was down.
Vad är er plan?,What's your plan?
Du har stavat fel på mitt namn.,You've misspelled my name.
Vi ska inte på semester.,We are not going on vacation.
Det fungerar inte.,It doesn't work.
Du behövs inte.,You aren't needed.
Jag är gift och har två barn.,I am married and have two children.
Jag kan inte behålla den här.,I can't keep this.
Det finns en katt i lådan.,There is a cat in the box.
Pratar du japanska?,Do you speak Japanese?
Det är ingen på det här skeppet förutom oss.,There's nobody on this ship except us.
Jag kände din pappa.,I knew your father.
Jag behöver dessa pengar.,I need this money.
"Du går inte upp lika tidigt som din syster, eller hur?","You don't get up as early as your sister, do you?"
Vill du beställa någonting mer?,Do you have anything else to order?
Vi ses igen när vi är tillbaka på skeppet.,I'll meet you back on the ship.
Vem har skrivit denna bok?,Who wrote this book?
Han kramade henne.,He hugged her.
Jag lånade den precis.,I just borrowed it.
Den här filmen är för barn.,This film is for children.
Åker du med tåget eller bilen?,Do you go by train or by car?
Jag har varit här sedan klockan fem.,I have been here since five o'clock.
Det är en smörgås här.,There's a sandwich here.
Jag behöver en bil.,I need a car.
Jag tror inte att två språk är tillräckligt.,I think two languages aren't enough.
Jag ger dig mitt ord.,I give you my word.
Är vi vänner?,Are we friends?
Min far är duktig på att simma.,My father swims very well.
Gå inte nära hunden.,Don't go near the dog.
Jag vill veta vad som är så roligt.,I want to know what's funny.
Berätta något om ditt land.,Tell me something about your country.
Hon väckte honom.,She woke him up.
Ni har stavat fel på mitt namn.,You've misspelled my name.
Ni måste arbeta snabbt.,You need to work fast.
Hon sa själv att hon inte skulle bli kär i någon igen.,She said herself that she won't fall in love with anyone anymore.
Jag kunde inte se någonting alls.,I couldn't see a thing.
Vad heter hon nu igen?,What's her name again?
Den fungerar inte.,It doesn't work.
Var kom det där skeppet ifrån?,Where did that ship come from?
Jag flyttar inte.,I won't move.
Hon har känt honom länge.,She has known him for a long time.
Jag är dålig på tennis.,I am poor at tennis.
Han blev av med sitt jobb.,He lost his job.
Jag är kär i dig.,I'm in love with you.
Var inte dum.,Don't be silly.
Jag läser ett brev.,I read a letter.
"Jag misstänkte att han ljög, men det kom inte som en överraskning.","I suspected that he was telling a lie, but that didn't surprise me."
Min bror är lärare.,My brother is a teacher.
Jag undrar varför hon inte berättade om det för honom.,I wonder why she didn't tell him about it.
Det var ingen där förutom jag.,There was no one there besides me.
Det här stämmer inte.,This isn't right.
Hon kramade honom.,She hugged him.
Det har gått tio år sedan jag kom hit.,Ten years have passed since I came here.
Hon har inte råd med det.,She can't afford it.
Hon har en bild.,She has a picture.
Egentligen inte.,Not really.
Du hade läst.,You had read.
Jag behöver förstå vad denna mening betyder.,I need to understand the meaning of this sentence.
Jag kollade på klockan och visste vilken tid det var.,I glanced at the clock and knew what time it was.
Vem läser?,Who is reading?
Hur länge ska du vara i Japan?,How long are you going to stay in Japan?
Hon är stolt över sin dotter.,She takes pride in her daughter.
Ni behövs inte.,You aren't needed.
Ett stort tack för din hjälp.,A big thanks for your help.
De skyndade sig ut ur rummet.,They hurried out of the room.
Vilken tid bad han om ditt svar?,What time did he ask for your response?
Kommer han hem klockan sex?,Is he coming home at six o'clock?
Jag fick veta att det var svårt för henne att lösa det problemet.,I found out that it was difficult for her to solve that problem.
Har du saknat mig?,Did you miss me?
Vill du ha ett jobb?,Do you want a job?
Tack så mycket!,Thank you very much!
Jag drog mig ur.,I wimped out.
Tack så mycket.,Thank you very much.
Det skulle kunna vara kul.,It could be fun.
Vill du ha te eller något?,Would you like tea or something?
Jag talar lite spanska.,I speak a little Spanish.
Jag saknar dig.,I miss you.
Det här rummet är allt annat än varmt.,This room is anything but warm.
Jag måste göra det själv.,I have to do it myself.
Jag kan leva utan vatten.,I can live without water.
Jag går till jobbet klockan sju.,I go to work at seven o'clock.
Vi kan inte vara utan vatten ens för en dag.,We cannot do without water even for a day.
Gift dig med mig.,Marry me.
Jag förälskade mig i dig.,I fell in love with you.
Det där är flickan som jag känner väl.,That is the girl whom I know well.
Jag sade aldrig att det inte vad en bra idé.,I never said that it was not a good idea.
Det är min CD.,It's my CD.
Han gick sakta så att barnet kunde följa med.,He walked slowly so the child could follow.
Han gick inte upp tidigt.,He did not get up early.
Jag minns inte hennes namn.,I can't remember her name.
Vem är din lärare?,Who is your teacher?
Du får inte röka.,You must not smoke.
Jag talar japanska väl.,I speak good Japanese.
Vem är din lärare?,Who's your teacher?
Jag är lärare.,I am a teacher.
Alla djur är lika.,All animals are equal.
"Jag behöver gå ner i vikt, så jag håller på med en diet.","I have to lose weight, so I'm going on a diet."
Vi är alla överens med dig.,We all agree with you.
Han bad om ett glas vatten.,He asked for a glass of water.
Studerar eller jobbar du?,Are you studying or working?
Du får inte skylla på mig.,You can't blame me.
Jag var tvungen att överge min plan.,I had to give up my plan.
Jag brukade spela tennis.,I used to play tennis.
Han springer.,He runs.
Det är inte söndag varje dag.,Not every day is Sunday.
Han går vanligtvis hem klockan fem.,He generally goes home at five o'clock.
Ha en bra dag.,Have a nice day.
"Jag mår bra, tack.","I'm fine, thank you."
Hon är inte gift.,She isn't married.
Känner du till någon bra restaurang?,Do you know a good restaurant?
Varför är hunden här?,Why is the dog here?
Det jag inte vill förlora är kärlek.,What I don't wanna lose is love.
Du borde komma och hälsa på oss!,You should come visit us!
"Han var sjuk, så han kunde inte komma.","He was sick, so he couldn't come."
Han är rädd för katter.,He's afraid of cats.
Jag åker dit varje år.,I go there every year.
Han har problem.,He is in trouble.
Jag ska ringa om det imorgon.,I will call for it tomorrow.
Hon ljög.,She lied.
Jag vill dricka något kallt.,I want to drink something cold.
Det påminde mig om dig.,It reminded me of you.
Vad är de gjorda av?,What are they made of?
Jag har ingenstans att gå.,I don't have anywhere to go.
Jag skrev till honom av en helt annan anledning.,I wrote to him for quite another reason.
Ser du efter barnen medan jag är ute?,Will you take care of the children while I'm out?
Jag lånade den just.,I just borrowed it.
Det finns en restaurang här.,There's a restaurant here.
Jag fick C i engelska.,I got a C in English.
Jag var lärare.,I was a teacher.
Det finns en smörgås här.,There's a sandwich here.
Det finns en busshållplats här.,There's a bus stop here.
Vi har problem.,We're in trouble.
Jag vill ha en förklaring och jag vill ha den nu!,I want an explanation and I want it now.
Jag måste lära mig ett språk.,I have to learn a language.
Här kommer vår lärare.,Here comes our teacher.
Någon satte dit honom.,Somebody set him up.
Jag dödade en gud.,I killed a god.
Jag blev kär i dig.,I fell in love with you.
Varför frågar du?,Why do you ask?
Köpte du en nya bil?,Did you buy a new car?
Ni borde komma och hälsa på oss!,You should come visit us!
Det är kallt.,It's cold.
Jag gillar båda.,I like both.
Jag köpte henne en vacker klänning.,I bought her a beautiful dress.
Jag hittade ett jobb åt honom.,I found him a job.
De såg efter pojken.,They looked after the boy.
Jag har arbete att göra.,I have work to do.
Ett stort tack för er hjälp.,A big thanks for your help.
Ni får inte röka.,You must not smoke.
Jag lyssnar på musik.,I'm listening to music.
Han är lärare.,He is a teacher.
Var ska jag lägga den?,Where should I put it?
Det var ett misstag från deras sida.,It was a mistake on their part.
Jag ska av nästa station.,I'll get off at the next station.
Vill du ha ett arbete?,Do you want a job?
Jag kommer att gå först.,I'll go first.
Detta är min bil.,This is my car.
Min bror och jag delade rummet.,My brother and I shared the room.
"När han kom hem, sov barnen redan.","When he returned home, the kids were already asleep."
När ska skeppet komma fram?,When is the ship due to arrive?
Titta på oss.,Watch us.
"Jag var väldigt trött, så jag gick och la mig tidigt.","I was very tired, so I went to bed early."
Vi är alla överens med er.,We all agree with you.
"Det står bra till med min familj, tack.","My family is fine, thanks."
När kan vi ses igen?,When can we meet again?
Jag kan göra det härifrån.,I can do that from here.
Han måste köpa en ny cykel åt hans son.,He must buy a new bicycle for his son.
"Men det är inte det sista tåget, eller?","But that's not the last train, right?"
Jag hoppas att du är hungrig.,I hope you're hungry.
Kom igen.,Come on.
Varför behöver du dessa pengar?,Why do you need this money?
Jag kan inte låtsas.,I can't fake it.
Han varnade dig.,He warned you.
Var snäll och vänta en stund medan jag gör klart ditt kvitto.,Please wait a moment while I write out your receipt.
Vi hade väldigt kul.,We enjoyed ourselves very much.
Det är allt annat än omöjligt.,It's all but impossible.
Det är en fin dag.,It's a nice day.
Få mig inte att döda dig.,Don't make me kill you.
Du bör alltid tänka innan du talar.,You should always think before you speak.
Mannen erkände till slut vad han hade gjort.,The man finally confessed what he had done.
Hon kunde inte komma för hon var sjuk.,She could not come because she was ill.
Är du redo att beställa nu?,Are you ready to order now?
Jag behöver de här pengarna.,I need this money.
"De har inga barn, så vitt jag vet.","They have no children, for all I know."
Tre av mina barn dog.,Three of my children died.
Är du fortfarande gift?,Are you still married?
Jag gillade den filmen.,I liked that movie.
Jag har en hund som kan springa snabbt.,I have a dog that can run fast.
Det påminde mig om er.,It reminded me of you.
Där kommer vår lärare.,There comes our teacher.
Det är säkert att han kommer att lyckas.,It is certain that he will succeed.
Jag är kapten över detta skepp.,I'm the captain of this ship.
Hur var din dag?,How was your day?
Du passar bra i kort hår.,You look nice with your hair short.
Skriver de ett brev?,Are they writing a letter?
Vem är redo att beställa?,Who's ready to order?
Jag kan inte komma på någon bra ursäkt till varför jag är sen till tandläkaren.,I can't come up with a good excuse for being late for the dentist.
Jag fick reda på någonting.,I found out something.
De har ingen annanstans att gå.,They have nowhere else to go.
Du kanske inte tittar så mycket på TV?,Maybe you don't watch TV that often?
Han är nöjd med sin nya bil.,He is pleased with his new car.
Ingen gjorde något annat än att dansa.,No one did anything but dance.
Vem skulle bry sig?,Who would care?
Jag tog med mig min kamera.,I took my camera along.
Vem är kapten över det här skeppet?,Who's the captain of this ship?
Jag rörde den aldrig.,I never touched it.
Är ni redo att beställa nu?,Are you ready to order now?
Hur mycket kostade den där?,How much did that cost?
Ert hus är stort.,Your house is big.
Jag vill veta vad som är roligt.,I want to know what's funny.
Du skrämmer mig inte.,You don't scare me.
Jag tar en promenad.,I'm going for a walk.
Åker han buss till skolan?,Does he go to school by bus?
Det här arbetet är inte på något sätt lätt.,This work is by no means easy.
Jorden är där vi alla bor.,The earth is where we all live.
Jag vet inte vad han har råkat ut för.,I don't know what has happened to him.
Det är omöjligt att leva utan vatten.,It is impossible to live without water.
Jag talar klingonska med dig.,I speak Klingon to you.
"Skulle du kunna vara tyst, tack?",Could you please be quiet?
Jag måste göra detta själv.,I have to do this alone.
Jag kommer tillbaka om en timme.,I'll be back in an hour.
"Du känner dig ensam, eller hur?","You feel lonesome, don't you?"
Jag är inte ett dugg trött.,I'm not at all tired.
Jag är inte ett dugg trött.,I'm not a bit tired.
Hennes hår är långt och vackert.,Her hair is long and beautiful.
Jag är upptagen nu.,I'm busy now.
Jag läste ett brev.,I read a letter.
Få mig inte att döda er.,Don't make me kill you.
Har du en ordbok?,Do you have a dictionary?
Han fick jobbet.,He got the job.
Jag ska kolla igen.,I'll check again.
Jag har massor med vänner.,I have lots of friends.
Tio år har gått sedan jag kom hit.,Ten years have passed since I came here.
Jag är sen till jobbet.,I'm late for work.
Jag tycker om frukt.,I like fruit.
Jag är hemskt trött.,I'm awfully tired.
Var är tidningen?,Where's the newspaper?
"Han gick inte, och det gjorde inte jag heller.","He didn't go, and neither did I."
Du ser precis ut som din storebror.,You look just like your older brother.
Jag drömde om honom.,I had a dream about him.
"Den ena talar engelska, den andra japanska.","One speaks English, and the other speaks Japanese."
Du har stavat mitt namn fel.,You've misspelled my name.
Vad kämpar du för?,What are you fighting for?
Är du road av detta?,Are you enjoying this?
Han är medveten om hans eget fel.,He is aware of his own fault.
Var snäll och sätt på dig skorna.,Please put your shoes on.
Jag kände mig skyldig.,I felt responsible.
Jag klarar det inte själv.,I can't do it alone.
Jag ska sluta röka för gott.,I will quit smoking for good.
Nu har de tre barn.,Now they have three children.
En kopp kaffe kostar en krona.,A cup of coffee costs one crown.
Kostar en kopp kaffe en krona?,Does a cup of coffee cost one crown?
"Vi är femton, allt som allt.",We are fifteen in all.
Ni skrämmer mig inte.,You don't scare me.
Det är flickan som jag känner väl.,That is the girl whom I know well.
Var är din skola?,Where is your school?
Det är för högt.,It's too loud.
Jag kan inte direkt säga att jag är glad över min pensionering.,I can't say I'm happy about retirement.
Du kommer att tala svenska.,You will speak Swedish.
Han skriver böcker.,He writes books.
Jag vill ha pengarna tillbaka.,I want a refund.
Hon försökte hoppa upp en andra gång.,She tried to jump up a second time.
Han åker om tre dagar.,He is leaving in three days.
Jag är en människa.,I'm a human.
Hur mår din pappa?,How is your dad?
Det var hemskt roligt.,It was awfully funny.
Jag är rädd för vilda djur.,I'm afraid of wild animals.
Jag berättar för dig.,I'll tell you.
Det var omöjligt att finna ett svar.,It was impossible to find an answer.
Varför behöver du de här pengarna?,Why do you need this money?
Du ljuger ju bara.,You're just lying.
Hur många böcker äger du?,How many books do you possess?
De är lärare.,They are teachers.
Ni har stavat mitt namn fel.,You've misspelled my name.
"Kan jag få ett glas vatten, tack.","Bring me a glass of water, please."
Hur kan jag lösa det här problemet?,How can I solve this problem?
Tittar de på oss?,Are they looking at us?
Hon talar tillräckligt tydligt för att vara lätt att förstå.,She speaks clearly enough to be easily understood.
Ingen kommer att klandra dig.,Nobody's going to blame you.
Vem är det som bor här intill?,Who lives in the next house?
Var är skeppet nu?,Where is the ship now?
Ingen kommer att beskylla dig.,Nobody's going to blame you.
Hon varnade dig.,She warned you.
Era skor är här.,Your shoes are here.
Men han ville väldigt gärna ha en son.,But he wanted a son very much.
Varför ge dem någonting?,Why give them anything?
Vi kommer alltid att vara tillsammans.,We will be together forever.
Hon har vackra ögon.,She has pretty eyes.
Jag skulle vilja vara ensam.,I'd like to be alone.
Är ni roade av detta?,Are you enjoying this?
Hur är ert liv som gifta?,How's your married life?
Jag talar klingonska med er.,I speak Klingon to you.
Jag önskar dig lycka.,I wish you well.
Jag läser det här brevet.,I am reading this letter.
Jag får inte gå härifrån.,I'm not allowed to leave.
Jag tror att det är bäst att du går.,I think you'd better go.
Jag älskar den sången.,I love that song.
Jag skulle vilja stå upp.,I'd like to stand up.
När ska du åka till Europa?,When are you going to Europe?
Jag kommer hit varje dag.,I come here every day.
Det är enkelt att göra och det är billigt.,It's easy to make and it's cheap.
Vad kallade du mig?,What did you call me?
Jag såg bilen köra på en man.,I saw the car hit a man.
Han blir sällan arg.,It is rare for him to get angry.
Vad handlar det om?,What's it about?
Ni kommer att tala svenska.,You will speak Swedish.
Du ljuger!,You're lying!
Varför slutar du inte?,Why don't you quit?
Jag trodde knappt mina ögon.,I scarcely believed my eyes.
Jag ringer efter en taxi åt dig.,I'll call you a cab.
Huset ligger vackert till.,The house is beautifully situated.
Han längtar efter att bli en lärare.,He aspires to become a teacher.
Jag skulle inte kunna bry mig mindre.,I couldn't care less.
Jag vill dansa.,I want to dance.
Jag ville inte ha mjölk.,I didn't want milk.
Hon väntar.,She is waiting.
Jag åkte dit med buss och tåg.,I went there by bus and train.
Hon saknar honom.,She misses him.
Jag förstår dina ord.,I understand your words.
Behöver du hjälp med att bära något?,Do you need help carrying anything?
Jag kommer inte att förlora.,I won't lose!
Hinner du?,Can you make it?
